,RA,DEC,z,INSTR,DR12_NAME,NAME
QSO166,17h22m52.98s,+24d58m34.7s,2.2612,TRIPLE,SDSSJ172252.98+245834.7,QSO166
QSO171,22h33m58.87s,-01d00m00.4s,2.3365,TRIPLE,SDSSJ223358.88-010000.4,QSO171
QSO176,00h31m35.578s,+00d34m21.29s,2.264,XSHOOT,SDSSJ003135.57+003421.2,QSO176
QSO181,11h35m20.394s,-00d10m53.57s,2.9071,XSHOOT,SDSSJ113520.39-001053.5,QSO181
QSO186,10h32m21.113s,+09d27m49.01s,3.9967,XSHOOT,SDSSJ103221.11+092748.9,QSO186
QSO191,11h03m52.745s,+10d04m03.16s,3.6063,XSHOOT,SDSSJ110352.74+100403.1,QSO191
QSO196,11h26m34.287s,-01d24m36.91s,3.7413,XSHOOT,SDSSJ112634.28-012436.9,QSO196
QSO201,13h12m42.863s,+08d41m05.04s,3.7447,XSHOOT,SDSSJ131242.86+084105.0,QSO201
QSO206,14h01m46.533s,+02d44m34.72s,4.4415,XSHOOT,SDSSJ140146.53+024434.7,QSO206
QSO211,16h21m16.922s,-00d42m50.85s,3.7027,XSHOOT,SDSSJ162116.92-004250.8,QSO211
QSO216,01h53m39.612s,-00d11m04.99s,4.1936,XSHOOT,SDSSJ015339.61-001104.9,QSO216
QSO221,08h18m55.779s,+09d58m48.04s,3.6736,XSHOOT,SDSSJ081855.78+095848.0,QSO221
QSO226,09h35m56.917s,+00d22m55.64s,3.7494,XSHOOT,SDSSJ093556.91+002255.6,QSO226
QSO231,10h24m56.612s,+18d19m08.75s,3.5251,XSHOOT,SDSSJ102456.61+181908.7,QSO231
QSO236,14h45m16.467s,+09d58m36.09s,3.5295,XSHOOT,SDSSJ144516.46+095836.0,QSO236
QSO241,23h28m00.702s,-27d16m55.25s,2.38,XSHOOT,None,QSO241
QSO246,02h47m56.500s,-05d55m58.00s,4.24,XSHOOT,None,QSO246
QSO251,00h06m51.610s,-62d08m03.70s,4.46,XSHOOT,None,QSO251
